location_name,month,year,month_number,solar_radiation,air_temperature,cell_temperature,days_in_month,system_kwp,temperature_factor,loss_factor,generation_kwh
home,2024-01,2024,1,5.2939,26.82,51.82,31,3,0.9061,0.7336,361.18
home,2024-01,2024,1,5.2939,26.82,51.82,31,5,0.9061,0.7336,601.97
home,2024-01,2024,1,5.2939,26.82,51.82,31,6,0.9061,0.7336,722.36
home,2024-01,2024,1,5.2939,26.82,51.82,31,10,0.9061,0.7336,1203.94
home,2024-02,2024,2,5.9887,29.29,54.29,29,3,0.8975,0.7266,378.58
home,2024-02,2024,2,5.9887,29.29,54.29,29,5,0.8975,0.7266,630.96
home,2024-02,2024,2,5.9887,29.29,54.29,29,6,0.8975,0.7266,757.16
home,2024-02,2024,2,5.9887,29.29,54.29,29,10,0.8975,0.7266,1261.93
home,2024-03,2024,3,6.4253,30.88,55.88,31,3,0.8919,0.7221,431.5
home,2024-03,2024,3,6.4253,30.88,55.88,31,5,0.8919,0.7221,719.16
home,2024-03,2024,3,6.4253,30.88,55.88,31,6,0.8919,0.7221,863.0
home,2024-03,2024,3,6.4253,30.88,55.88,31,10,0.8919,0.7221,1438.33
home,2024-04,2024,4,6.1056,32.54,57.54,30,3,0.8861,0.7174,394.22
home,2024-04,2024,4,6.1056,32.54,57.54,30,5,0.8861,0.7174,657.03
home,2024-04,2024,4,6.1056,32.54,57.54,30,6,0.8861,0.7174,788.43
home,2024-04,2024,4,6.1056,32.54,57.54,30,10,0.8861,0.7174,1314.06
home,2024-05,2024,5,5.0846,30.75,55.75,31,3,0.8924,0.7225,341.64
home,2024-05,2024,5,5.0846,30.75,55.75,31,5,0.8924,0.7225,569.39
home,2024-05,2024,5,5.0846,30.75,55.75,31,6,0.8924,0.7225,683.27
home,2024-05,2024,5,5.0846,30.75,55.75,31,10,0.8924,0.7225,1138.79
home,2024-06,2024,6,4.9442,28.11,53.11,30,3,0.9016,0.73,324.82
home,2024-06,2024,6,4.9442,28.11,53.11,30,5,0.9016,0.73,541.36
home,2024-06,2024,6,4.9442,28.11,53.11,30,6,0.9016,0.73,649.63
home,2024-06,2024,6,4.9442,28.11,53.11,30,10,0.9016,0.73,1082.72
home,2024-07,2024,7,4.4856,27.11,52.11,31,3,0.9051,0.7328,305.69
home,2024-07,2024,7,4.4856,27.11,52.11,31,5,0.9051,0.7328,509.49
home,2024-07,2024,7,4.4856,27.11,52.11,31,6,0.9051,0.7328,611.38
home,2024-07,2024,7,4.4856,27.11,52.11,31,10,0.9051,0.7328,1018.97
home,2024-08,2024,8,5.291,27.63,52.63,31,3,0.9033,0.7313,359.85
home,2024-08,2024,8,5.291,27.63,52.63,31,5,0.9033,0.7313,599.76
home,2024-08,2024,8,5.291,27.63,52.63,31,6,0.9033,0.7313,719.71
home,2024-08,2024,8,5.291,27.63,52.63,31,10,0.9033,0.7313,1199.52
home,2024-09,2024,9,4.278,27.0,52.0,30,3,0.9055,0.7331,282.26
home,2024-09,2024,9,4.278,27.0,52.0,30,5,0.9055,0.7331,470.43
home,2024-09,2024,9,4.278,27.0,52.0,30,6,0.9055,0.7331,564.52
home,2024-09,2024,9,4.278,27.0,52.0,30,10,0.9055,0.7331,940.87
home,2024-10,2024,10,4.5878,26.84,51.84,31,3,0.9061,0.7336,312.98
home,2024-10,2024,10,4.5878,26.84,51.84,31,5,0.9061,0.7336,521.64
home,2024-10,2024,10,4.5878,26.84,51.84,31,6,0.9061,0.7336,625.97
home,2024-10,2024,10,4.5878,26.84,51.84,31,10,0.9061,0.7336,1043.28
home,2024-11,2024,11,4.6949,27.08,52.08,30,3,0.9052,0.7329,309.67
home,2024-11,2024,11,4.6949,27.08,52.08,30,5,0.9052,0.7329,516.12
home,2024-11,2024,11,4.6949,27.08,52.08,30,6,0.9052,0.7329,619.34
home,2024-11,2024,11,4.6949,27.08,52.08,30,10,0.9052,0.7329,1032.24
home,2024-12,2024,12,3.8167,25.44,50.44,31,3,0.911,0.7375,261.79
home,2024-12,2024,12,3.8167,25.44,50.44,31,5,0.911,0.7375,436.31
home,2024-12,2024,12,3.8167,25.44,50.44,31,6,0.911,0.7375,523.57
home,2024-12,2024,12,3.8167,25.44,50.44,31,10,0.911,0.7375,872.62
